year,state,state_po,state_fips,state_cen,state_ic,office,district,candidate,party,candidatevotes,totalvotes
1976,Alabama,AL,1,63,41,US House,1,Bill Davenport,democrat,58906,157170
1976,Alabama,AL,1,63,41,US House,1,Jack Edwards,republican,98257,157170
1976,Alabama,AL,1,63,41,US House,1,NA,NA,7,157170
1976,Alabama,AL,1,63,41,US House,2,J. Carole Keahey,democrat,66288,156362
1976,Alabama,AL,1,63,41,US House,2,NA,NA,5,156362
1976,Alabama,AL,1,63,41,US House,2,"William L. """"Bill"""" Dickinson",republican,90069,156362
1976,Alabama,AL,1,63,41,US House,3,Bill Nichols,democrat,106935,108048
1976,Alabama,AL,1,63,41,US House,3,NA,NA,2,108048
1976,Alabama,AL,1,63,41,US House,3,Ogburn Gardner,prohibition,1111,108048
1976,Alabama,AL,1,63,41,US House,4,Tom Bevill,democrat,141490,176022
1976,Alabama,AL,1,63,41,US House,4,Leonard Wilson,republican,34531,176022
1976,Alabama,AL,1,63,41,US House,4,NA,NA,1,176022
1976,Alabama,AL,1,63,41,US House,5,Ronnie G. Flippo,democrat,113553,113560
1976,Alabama,AL,1,63,41,US House,5,NA,NA,7,113560
1976,Alabama,AL,1,63,41,US House,6,Billy E. Dorsey,national democrat,1021,162518
1976,Alabama,AL,1,63,41,US House,6,Mel Bailey,democrat,69384,162518
1976,Alabama,AL,1,63,41,US House,6,"John H. Buchanan, Jr.",republican,92113,162518
1976,Alabama,AL,1,63,41,US House,7,Walter Flowers,democrat,110496,110501
1976,Alabama,AL,1,63,41,US House,7,NA,NA,5,110501
1976,Alaska,AK,2,94,81,US House,0,Don Young,republican,83722,118208
1976,Alaska,AK,2,94,81,US House,0,NA,NA,292,118208
1976,Alaska,AK,2,94,81,US House,0,Eben Hopson,democrat,34194,118208
1976,Arizona,AZ,4,86,61,US House,1,Harry Braun,independent,1040,168119
1976,Arizona,AZ,4,86,61,US House,1,John J. Rhodes,republican,96397,168119
1976,Arizona,AZ,4,86,61,US House,1,Summer Duncan Dodge,libertarian,2278,168119
1976,Arizona,AZ,4,86,61,US House,1,Patricia M. Fullinwider,democrat,68404,168119
1976,Arizona,AZ,4,86,61,US House,2,Laird Guttersen,republican,71765,182128
1976,Arizona,AZ,4,86,61,US House,2,Michael Emerling,libertarian,4309,182128
1976,Arizona,AZ,4,86,61,US House,2,Morris K. Udall,democrat,106054,182128
1976,Arizona,AZ,4,86,61,US House,3,Bill McCune,independent,19149,187165
1976,Arizona,AZ,4,86,61,US House,3,Bob Stump,democrat,88854,187165
1976,Arizona,AZ,4,86,61,US House,3,"Fred Koory, Jr.",republican,79162,187165
1976,Arizona,AZ,4,86,61,US House,4,Pat Harper,libertarian,6001,191590
1976,Arizona,AZ,4,86,61,US House,4,Eldon Rudd,republican,93154,191590
1976,Arizona,AZ,4,86,61,US House,4,Tony Mason,democrat,92435,191590
1976,Arkansas,AR,5,71,42,US House,1,"Harlan """"Bo"""" Holleman",republican,52565,168782
1976,Arkansas,AR,5,71,42,US House,1,Bill Alexander,democrat,116217,168782
1976,Arkansas,AR,5,71,42,US House,2,Jim Guy Tucker,democrat,144780,167607
1976,Arkansas,AR,5,71,42,US House,2,NA,NA,8,167607
1976,Arkansas,AR,5,71,42,US House,2,James J. Kelly,republican,22819,167607
1976,Arkansas,AR,5,71,42,US House,3,John Paul Hammerschmidt,republican,1,1
1976,Arkansas,AR,5,71,42,US House,4,Ray Thornton,democrat,1,1
1976,California,CA,6,93,71,US House,1,James E. Taylor,republican,56539,217016
1976,California,CA,6,93,71,US House,1,Harold T. (Bizz) Johnson,democrat,160477,217016
1976,California,CA,6,93,71,US House,2,Robert B. Allred,peace and freedom,6444,216563
1976,California,CA,6,93,71,US House,2,Oscar Klee,democrat,88829,216563
1976,California,CA,6,93,71,US House,2,Don H. Clausen,republican,121290,216563
1976,California,CA,6,93,71,US House,3,"George R. Marsh, Jr.",republican,52075,191854
1976,California,CA,6,93,71,US House,3,John E. Moss,democrat,139779,191854
